Wavelength_nm,n,k
553,2.134891,6.76916E-2
554,2.133901,6.71004E-2
555,2.132921,6.65202E-2
556,2.131951,6.59507E-2
557,2.130991,6.53917E-2
558,2.13004,6.48428E-2
559,2.129099,6.43039E-2
560,2.128167,6.37746E-2
561,2.127244,6.32547E-2
562,2.12633,6.27439E-2
563,2.125425,6.2242E-2
564,2.12453,6.17488E-2
565,2.123643,6.12641E-2
566,2.122764,6.07876E-2
567,2.121895,6.03191E-2
568,2.121033,5.98585E-2
569,2.120181,5.94055E-2
570,2.119336,5.896E-2
571,2.118499,5.85217E-2
572,2.117671,5.80905E-2
573,2.11685,5.76662E-2
574,2.116038,5.72487E-2
575,2.115233,5.68378E-2
576,2.114435,5.64333E-2
577,2.113646,5.60351E-2
578,2.112863,5.56431E-2
579,2.112088,5.52571E-2
580,2.11132,5.48769E-2
581,2.11056,5.45024E-2
582,2.109806,5.41336E-2
583,2.109059,5.37702E-2
584,2.10832,5.34122E-2
585,2.107587,5.30594E-2
586,2.106861,5.27118E-2
587,2.106141,5.23691E-2
588,2.105428,5.20313E-2
589,2.104721,5.16984E-2
590,2.104021,5.13701E-2
591,2.103327,5.10464E-2
592,2.102639,5.07272E-2
593,2.101957,5.04124E-2
594,2.101282,5.01019E-2
595,2.100612,4.97957E-2
596,2.099949,4.94935E-2
597,2.099291,4.91955E-2
598,2.098639,4.89013E-2
599,2.097992,4.86111E-2
600,2.097351,4.83247E-2
601,2.096716,4.8042E-2
602,2.096086,4.77629E-2
603,2.095462,4.74875E-2
604,2.094843,4.72155E-2
605,2.094229,4.6947E-2
606,2.09362,4.66819E-2
607,2.093017,4.64201E-2
608,2.092418,4.61616E-2
609,2.091825,4.59062E-2
610,2.091237,4.5654E-2
611,2.090653,4.54049E-2
612,2.090075,4.51588E-2
613,2.089501,4.49156E-2
614,2.088932,4.46753E-2
615,2.088367,4.44379E-2
616,2.087807,4.42033E-2
617,2.087252,4.39714E-2
618,2.086701,4.37423E-2
619,2.086155,4.35158E-2
620,2.085613,4.32919E-2
621,2.085076,4.30705E-2
622,2.084543,4.28517E-2
623,2.084014,4.26354E-2
624,2.083489,4.24215E-2
625,2.082968,4.22099E-2
626,2.082452,4.20007E-2
627,2.081939,4.17938E-2
628,2.081431,4.15892E-2
629,2.080926,4.13868E-2
630,2.080426,4.11867E-2
631,2.079929,4.09886E-2
632,2.079436,4.07927E-2
633,2.078947,4.05989E-2
634,2.078462,4.04071E-2
635,2.07798,4.02173E-2
636,2.077502,4.00295E-2
637,2.077028,3.98437E-2
638,2.076557,3.96598E-2
639,2.07609,3.94778E-2
640,2.075626,3.92977E-2
641,2.075166,3.91193E-2
642,2.07471,3.89428E-2
643,2.074256,3.87681E-2
644,2.073806,3.85951E-2
645,2.073359,3.84238E-2
646,2.072916,3.82543E-2
647,2.072476,3.80863E-2
648,2.072039,3.79201E-2
649,2.071605,3.77554E-2
650,2.071175,3.75924E-2
651,2.070747,3.74309E-2
652,2.070323,3.7271E-2
653,2.069902,3.71126E-2
654,2.069483,3.69557E-2
655,2.069068,3.68003E-2
656,2.068655,3.66463E-2
657,2.068246,3.64938E-2
