Wavelength_nm,n,k
1820.0,1.5277,3.04e-05
1830.0,1.52657,3.21e-05
1840.0,1.5252,2.94e-05
1850.0,1.52739,2.82e-05
1860.0,1.52662,2.71e-05
1870.0,1.528,2.38e-05
1880.0,1.52753,2.18e-05
1890.0,1.52658,2.07e-05
1900.0,1.52628,2.46e-05
1910.0,1.52623,2.19e-05
1920.0,1.52441,1.98e-05
1930.0,1.52594,1.99e-05
1940.0,1.52659,2e-05
1950.0,1.52716,1.97e-05
1960.0,1.52698,1.89e-05
1970.0,1.52855,1.83e-05
1980.0,1.52828,1.77e-05
1990.0,1.52599,1.71e-05
2000.0,1.52604,1.72e-05
2009.7,1.52336,1.84e-05
2019.0000000000002,1.52418,2.86e-05
2028.5000000000002,1.52426,3.9e-05
2038.1,1.52308,3.93e-05
2047.8,1.52121,3.96e-05
2057.5,1.52058,3.99e-05
2067.2999999999997,1.52115,3.96e-05
2077.3,1.52145,3.9e-05
2087.2999999999997,1.52268,3.86e-05
2097.5,1.52474,3.87e-05
2107.7,1.52548,3.96e-05
2118.0,1.52618,4.1e-05
2128.5,1.52517,4.32e-05
2139.0,1.5239,4.56e-05
2149.6,1.52528,4.62e-05
2156.8,1.52611,4.58e-05
2167.6000000000004,1.52584,4.51e-05
2178.5,1.52529,4.49e-05
2189.6,1.52568,4.61e-05
2197.0,1.52606,4.8e-05
2208.2000000000003,1.52622,5.31e-05
2219.6,1.52563,6.16e-05
2227.2,1.52565,7e-05
2238.7000000000003,1.52525,8.95e-05
2246.5,1.52461,0.000109
2258.2,1.5244,0.000144
2266.1,1.5247,0.00121
2278.1,1.52484,0.00225
2286.1,1.52438,0.00268
2298.2999999999997,1.52525,0.002
2306.5,1.5263,0.00159
2318.8,1.52594,0.00213
2327.2,1.52499,0.0032
2339.7999999999997,1.52531,0.00391
2348.2,1.52526,0.00374
2356.7999999999997,1.52485,0.00362
2369.7,1.52517,0.00255
2378.4,1.52617,0.00234
2387.2,1.52689,0.00293
2396.0,1.52643,0.00301
2409.3,1.52602,0.00222
2418.2999999999997,1.52635,0.00186
2427.4,1.52578,0.00175
2436.5,1.52471,0.00168
2445.7,1.52452,0.00182
2459.6,1.52546,0.0022
2469.0,1.52599,0.00201
2478.4,1.52627,0.00249
2488.0,1.52682,0.00342
2497.5,1.52702,0.00396
2507.2000000000003,1.52719,0.00339
2516.9,1.52674,0.00242
2526.8,1.52573,0.00234
2536.6,1.52486,0.0023
2546.6000000000004,1.5251,0.00205
2556.7000000000003,1.5261,0.00258
2566.8,1.52693,0.00271
2577.0,1.52649,0.0024
2587.2999999999997,1.52591,0.00275
2597.6,1.52561,0.00339
2608.1,1.52494,0.00354
2618.6,1.52403,0.00289
2629.3,1.52353,0.00245
2640.0,1.52412,0.00244
2645.4,1.52478,0.00255
2656.2000000000003,1.52626,0.00262
2667.1,1.52753,0.00265
2678.2,1.52708,0.00285
2689.2999999999997,1.5251,0.00274
2694.9,1.52441,0.00271
2706.1000000000004,1.52452,0.00262
2717.5,1.52536,0.00213
2728.9,1.52491,0.00194
2734.7000000000003,1.52457,0.00193
2746.2,1.52428,0.00209
2757.8999999999996,1.52457,0.00258
2769.7,1.52471,0.00276
2775.6,1.52482,0.00284
2787.6,1.52576,0.00324
2799.6,1.52614,0.00339
2805.7,1.52526,0.00322
2817.8999999999996,1.52326,0.00277
2824.0,1.52308,0.00275
2836.3999999999996,1.52407,0.00272
2848.9,1.52515,0.00247
2855.1000000000004,1.52563,0.00251
2867.7999999999997,1.52557,0.00274
2874.1,1.52527,0.00309
2886.8999999999996,1.5249,0.00397
2899.7999999999997,1.52502,0.00391
2906.2999999999997,1.52483,0.0036
2919.4,1.52398,0.00304
2926.0,1.52392,0.00282
2939.2999999999997,1.52529,0.00266
2946.0,1.52567,0.00271
2959.4,1.52565,0.0025
2966.2000000000003,1.52519,0.00237
2979.8,1.52349,0.00222
2986.7,1.52322,0.00245
2993.6,1.52339,0.00285
3007.5,1.52414,0.00368
3014.5,1.52475,0.00339
3028.6,1.52537,0.0027
3035.7,1.52536,0.00263
3049.9,1.52543,0.00206
3057.1000000000004,1.52548,0.00183
3064.4,1.52529,0.00188
3078.9,1.5248,0.00234
3086.3,1.52469,0.00244
3093.6,1.52488,0.00237
3108.5,1.52509,0.00239
3115.9,1.52501,0.00228
3123.4,1.52501,0.0019
3138.6,1.52508,0.00158
3146.2,1.52477,0.00176
3153.7999999999997,1.52435,0.00174
3169.2999999999997,1.52397,0.0014
3177.0,1.52397,0.00167
3184.8,1.52407,0.00191
3192.7,1.52405,0.00205
3208.5,1.52346,0.00214
3216.4,1.52328,0.00215
3224.4,1.5233,0.00249
3232.5,1.52324,0.00281
3248.7,1.52255,0.00206
3256.9,1.5224,0.00178
3265.1,1.52259,0.00189
3273.2999999999997,1.52275,0.00196
3289.8999999999996,1.52166,0.002
3298.2999999999997,1.52092,0.00212
3306.7000000000003,1.52059,0.00228
3315.2,1.52021,0.00265
3323.7000000000003,1.51941,0.0032
3332.2,1.51867,0.00374
3349.4,1.51754,0.00576
3358.1,1.51761,0.00801
3366.8,1.5188,0.0101
3375.6,1.5206,0.011
3384.3999999999996,1.522,0.0111
3393.3,1.52256,0.0114
3402.2000000000003,1.52262,0.0122
3411.1,1.5231,0.0132
3429.2,1.52835,0.0143
3438.2999999999997,1.53189,0.0133
3447.4,1.53404,0.0107
3456.6,1.53433,0.00749
3465.8,1.53307,0.00529
3475.1,1.53118,0.00465
3484.5,1.52968,0.00507
3493.9,1.52903,0.00576
3503.2999999999997,1.52935,0.00597
3512.7999999999997,1.53012,0.00521
3522.4,1.53005,0.0038
3532.0,1.52906,0.00285
3541.6,1.52836,0.00288
3551.2999999999997,1.5283,0.00316
3561.1000000000004,1.5286,0.00292
3570.9,1.52899,0.00215
3580.7000000000003,1.52935,0.00149
3590.7,1.5292,0.00135
3600.6,1.52838,0.00159
3610.7,1.52763,0.00175
3620.7,1.52724,0.00185
3630.9,1.5268,0.00176
3641.1,1.52654,0.00162
3651.3,1.5265,0.00169
3661.7000000000003,1.52647,0.002
3672.0,1.52648,0.00224
3682.5,1.52685,0.00231
3693.0,1.52699,0.00215
3703.5,1.52666,0.00169
3714.1000000000004,1.52646,0.00137
3724.8,1.52673,0.00142
3735.5,1.52675,0.00182
3746.3,1.52612,0.00213
3757.2000000000003,1.52562,0.0022
3768.1,1.5257,0.00206
3779.1,1.52587,0.00186
3790.1,1.5257,0.00185
3801.2999999999997,1.52541,0.00182
3812.3999999999996,1.52545,0.00177
3823.7000000000003,1.52571,0.00176
3835.0,1.52586,0.00173
3846.4,1.52587,0.0017
3857.8,1.5258,0.00169
3869.3,1.52584,0.00181
3880.9,1.52598,0.00198
3892.6,1.52595,0.00223
3904.3,1.52572,0.00232
3916.1000000000004,1.52552,0.00219
3928.0,1.52553,0.00212
3939.9,1.5257,0.00194
3951.9,1.52582,0.00163
3964.0,1.52565,0.00147
3976.2,1.52552,0.00149
3988.4,1.52552,0.00173
4000.7000000000003,1.52558,0.0021
4013.0999999999995,1.52561,0.0022
4025.5,1.52546,0.00202
4038.1,1.52517,0.00199
4050.7,1.52497,0.00212
4063.3999999999996,1.52512,0.00201
4076.2,1.52515,0.00183
4089.0000000000005,1.52499,0.00174
4102.0,1.52471,0.00181
4115.0,1.5245,0.00203
4128.099999999999,1.52458,0.00207
4141.3,1.52456,0.00191
4154.6,1.52455,0.0018
4167.900000000001,1.52466,0.00177
4181.4,1.52462,0.00194
4194.9,1.52454,0.00216
4208.5,1.52419,0.00214
4222.2,1.52343,0.00185
4236.0,1.52299,0.0023
4249.900000000001,1.52331,0.00242
4263.9,1.5233,0.00252
4278.0,1.52354,0.00204
4292.099999999999,1.52381,0.00165
4306.4,1.52401,0.00126
4320.8,1.52436,0.0014
4335.200000000001,1.52448,0.00178
4349.8,1.52418,0.00194
4364.4,1.52407,0.00207
4379.1,1.52397,0.00208
4394.0,1.52389,0.00207
4408.9,1.52371,0.00216
4424.0,1.52348,0.00226
4439.099999999999,1.52372,0.00211
4454.4,1.52451,0.00203
4469.7,1.52497,0.00211
4485.2,1.5246,0.00208
4500.8,1.52395,0.00205
4516.5,1.52381,0.00195
4532.3,1.52405,0.00176
4548.2,1.52396,0.00157
4564.2,1.5236,0.00143
4580.3,1.52341,0.00143
4596.5,1.5235,0.00137
4612.9,1.52354,0.00142
4629.400000000001,1.52335,0.00165
4646.0,1.52333,0.00179
4662.7,1.52372,0.00176
4679.5,1.52369,0.00179
4696.5,1.52329,0.00192
4713.599999999999,1.52312,0.00189
4730.8,1.52322,0.00166
4748.1,1.52303,0.00146
4765.5,1.52307,0.00146
4783.1,1.52323,0.00151
4800.8,1.52294,0.00171
4818.7,1.52241,0.00187
4836.700000000001,1.52215,0.00148
4854.8,1.52245,0.00127
4873.0,1.52257,0.00146
4891.4,1.5222,0.00163
4910.0,1.52205,0.00176
4928.6,1.52211,0.00158
4947.4,1.52195,0.00144
4966.400000000001,1.52208,0.0017
4985.5,1.52227,0.00174
5004.7,1.52213,0.00183
5024.099999999999,1.52188,0.00203
5043.700000000001,1.52198,0.00167
5063.4,1.52213,0.00155
5083.2,1.52172,0.00189
5103.3,1.5213,0.00207
5123.400000000001,1.52151,0.00205
5143.799999999999,1.52158,0.00202
5164.3,1.52142,0.00217
5184.9,1.52103,0.00208
5205.7,1.52049,0.00198
5226.7,1.5202,0.00178
5247.9,1.52033,0.00159
5269.2,1.52063,0.0016
5290.7,1.52062,0.00193
5312.400000000001,1.52061,0.00231
5334.3,1.52037,0.00188
5356.3,1.51992,0.0016
5378.5,1.52,0.00181
5400.9,1.52017,0.0018
5423.5,1.51986,0.00201
5446.3,1.51964,0.00232
5469.299999999999,1.51964,0.00224
5492.5,1.51957,0.00211
5515.900000000001,1.51931,0.00218
5539.4,1.51865,0.00218
5563.2,1.51785,0.00205
5587.2,1.5172,0.00214
5611.4,1.51683,0.00222
5635.799999999999,1.51666,0.00264
5660.400000000001,1.51618,0.00325
5685.2,1.51511,0.00348
5710.3,1.51353,0.00446
5735.5,1.51283,0.00722
5761.0,1.51485,0.011
5786.7,1.51937,0.013
5812.700000000001,1.52339,0.0118
5838.9,1.52527,0.0082
5865.3,1.52478,0.00513
5891.9,1.52291,0.00332
5918.8,1.5219,0.00286
5946.0,1.52134,0.00257
5973.4,1.52065,0.00252
6001.1,1.52035,0.00264
6029.0,1.52012,0.0026
6057.1,1.51991,0.00257
6085.6,1.51925,0.00221
6114.3,1.51852,0.00164
6143.3,1.51801,0.00195
6172.5,1.51792,0.00214
6202.0,1.51755,0.00204
6231.900000000001,1.51705,0.00264
6262.0,1.51657,0.00287
6292.4,1.51611,0.00263
6323.1,1.51595,0.00271
6354.099999999999,1.51635,0.00258
6385.4,1.51628,0.00233
6417.0,1.51546,0.00224
6448.9,1.51505,0.00231
6481.099999999999,1.51471,0.00249
6513.7,1.51367,0.00271
6546.599999999999,1.51289,0.00235
6579.799999999999,1.51202,0.00176
6613.400000000001,1.51064,0.00162
6647.3,1.50856,0.00187
6681.6,1.5068,0.00276
6716.2,1.50649,0.00338
6751.2,1.50551,0.00325
6786.5,1.50318,0.00435
6822.3,1.50149,0.00628
6858.3,1.49962,0.00756
6894.8,1.49417,0.0104
6931.7,1.49086,0.0205
6969.0,1.49932,0.0348
7006.599999999999,1.51617,0.0376
7044.7,1.52722,0.0259
7083.2,1.52698,0.0129
7122.099999999999,1.5204,0.00699
7161.5,1.51417,0.00659
7201.3,1.51013,0.00898
7241.5,1.50858,0.0113
7282.2,1.50743,0.0124
7323.299999999999,1.50512,0.0136
7364.9,1.50345,0.016
7407.0,1.50151,0.0188
7449.6,1.4989,0.0248
7492.6,1.50218,0.0325
7536.2,1.51083,0.034
7580.3,1.51611,0.0292
7624.900000000001,1.51597,0.0246
7670.0,1.51363,0.0233
7715.6,1.51151,0.0234
7761.8,1.50856,0.0242
7808.6,1.50321,0.0269
7855.900000000001,1.49895,0.0343
7903.8,1.50077,0.0474
7952.3,1.51268,0.0588
8001.400000000001,1.52877,0.0597
8051.1,1.54059,0.0538
8101.4,1.54825,0.0451
8152.4,1.55173,0.0326
8204.0,1.5467,0.0224
8256.199999999999,1.53853,0.0201
8309.1,1.53619,0.0226
8362.8,1.53908,0.0238
8417.1,1.54086,0.0198
8472.099999999999,1.53965,0.0145
8527.8,1.53776,0.0124
8584.300000000001,1.53557,0.012
8641.5,1.53256,0.0112
8699.5,1.52975,0.0101
8758.300000000001,1.52688,0.00983
8817.9,1.52414,0.0116
8878.3,1.52265,0.0149
8939.5,1.52211,0.0172
9001.6,1.52218,0.0201
9064.5,1.52387,0.0231
9128.4,1.52793,0.0235
9193.099999999999,1.53066,0.0217
9258.800000000001,1.53138,0.0209
9325.4,1.53201,0.0199
9393.0,1.53196,0.017
9461.5,1.53125,0.0149
9531.1,1.52972,0.013
9601.699999999999,1.52766,0.0123
9673.3,1.52643,0.0129
9746.1,1.52428,0.0141
9819.9,1.52163,0.0147
9894.9,1.51946,0.0144
9971.0,1.51865,0.0155
10048.0,1.5173,0.0187
10127.0,1.51505,0.0228
10207.0,1.51457,0.0298
10288.0,1.51955,0.0372
10370.0,1.52929,0.0407
10453.0,1.53864,0.0376
10538.0,1.54351,0.031
10625.0,1.54387,0.0249
10713.0,1.54319,0.0214
10802.0,1.544,0.0203
10893.0,1.5438,0.0192
