wl,n
0.91999,1.36702
0.92156,1.36429
0.92313,1.36156
0.92470,1.35881
0.92628,1.35606
0.92785,1.35330
0.92942,1.35053
0.93099,1.34775
0.93256,1.34496
0.93413,1.34216
0.93570,1.33935
0.93728,1.33653
0.93885,1.33371
0.94042,1.33087
0.94199,1.32803
0.94356,1.32518
0.94513,1.32231
0.94669,1.31944
0.94826,1.31656
0.94983,1.31367
0.95140,1.31077
0.95297,1.30786
0.95454,1.30494
0.95611,1.30201
0.95768,1.29907
0.95924,1.29612
0.96081,1.29316
0.96238,1.29019
0.96395,1.28721
0.96551,1.28422
0.96708,1.28122
0.96865,1.27821
0.97021,1.27519
0.97178,1.27216
0.97335,1.26912
0.97491,1.26607
0.97648,1.26300
0.97804,1.25993
0.97961,1.25684
0.98117,1.25375
0.98274,1.25064
0.98430,1.24752
0.98587,1.24439
0.98743,1.24126
0.98900,1.23810
0.99056,1.23494
0.99212,1.23177
0.99369,1.22858
0.99525,1.22538
0.99681,1.22217
0.99838,1.21895
0.99994,1.21572
1.01338,1.18739
1.01681,1.18002
1.02024,1.17257
1.02367,1.16506
1.02709,1.15749
1.03052,1.14984
1.03395,1.14213
1.03738,1.13434
1.04081,1.12649
1.04423,1.11856
1.04766,1.11055
1.05109,1.10247
1.05452,1.09431
1.05795,1.08607
1.06137,1.07776
1.06480,1.06935
1.06823,1.06087
1.07166,1.05230
1.07509,1.04364
1.07851,1.03489
1.08194,1.02605
1.08537,1.01712
1.08880,1.00809
1.09223,0.99896
1.09565,0.98974
1.09908,0.98041
1.10251,0.97098
1.10594,0.96145
1.10937,0.95180
1.11280,0.94205
1.11622,0.93218
1.11965,0.92219
1.12308,0.91209
1.12651,0.90186
1.12994,0.89152
1.13337,0.88104
1.13680,0.87044
1.14022,0.85970
1.14365,0.84883
1.14708,0.83782
1.15051,0.82667
1.15394,0.81538
1.15737,0.80394
1.16080,0.79236
1.16423,0.78062
1.16766,0.76873
1.17109,0.75669
1.17452,0.74449
1.17795,0.73214
1.18138,0.71963
1.18481,0.70697
1.18824,0.69415
1.19167,0.68118
1.19510,0.66806
1.19853,0.65481
1.20196,0.64142
1.20539,0.62791
1.20883,0.61428
1.21226,0.60056
1.21569,0.58677
1.21912,0.57293
1.22255,0.55905
1.22598,0.54519
1.22942,0.53136
1.23285,0.51762
1.23628,0.50400
1.23971,0.49056
1.24315,0.47734
1.24658,0.46438
1.25001,0.45175
1.25345,0.43948
1.25688,0.42762
1.26031,0.41620
1.26375,0.40525
1.26718,0.39479
1.27062,0.38484
1.27405,0.37540
1.27749,0.36647
1.28092,0.35803
1.28436,0.35009
1.28779,0.34261
1.29123,0.33559
1.29466,0.32899
1.29810,0.32280
1.30154,0.31699
1.30497,0.31153
1.30841,0.30642
1.31185,0.30161
1.31528,0.29710
1.31872,0.29286
1.32216,0.28888
1.32560,0.28513
1.32904,0.28160
1.33248,0.27828
1.33591,0.27515
1.33935,0.27220
1.34279,0.26942
1.34623,0.26679
1.34967,0.26431
1.35311,0.26196
1.35655,0.25975
1.36000,0.25765
