wl,n
1.217,1.84727
1.218,1.84723
1.219,1.84720
1.220,1.84717
1.221,1.84714
1.222,1.84710
1.223,1.84707
1.224,1.84704
1.225,1.84701
1.226,1.84698
1.227,1.84694
1.228,1.84691
1.229,1.84688
1.230,1.84685
1.231,1.84682
1.232,1.84679
1.233,1.84676
1.234,1.84673
1.235,1.84669
1.236,1.84666
1.237,1.84663
1.238,1.84660
1.239,1.84657
1.240,1.84654
1.241,1.84651
1.242,1.84648
1.243,1.84645
1.244,1.84642
1.245,1.84639
1.246,1.84636
1.247,1.84633
1.248,1.84630
1.249,1.84627
1.250,1.84624
1.251,1.84621
1.252,1.84618
1.253,1.84615
1.254,1.84612
1.255,1.84609
1.256,1.84606
1.257,1.84603
1.258,1.84600
1.259,1.84597
1.260,1.84594
1.261,1.84591
1.262,1.84588
1.263,1.84585
1.264,1.84582
1.265,1.84580
1.266,1.84577
1.267,1.84574
1.268,1.84571
1.269,1.84568
1.270,1.84565
1.271,1.84562
1.272,1.84559
1.273,1.84557
1.274,1.84554
1.275,1.84551
1.276,1.84548
1.277,1.84545
1.278,1.84543
1.279,1.84540
1.280,1.84537
1.281,1.84534
1.282,1.84531
1.283,1.84529
1.284,1.84526
1.285,1.84523
1.286,1.84520
1.287,1.84518
1.288,1.84515
1.289,1.84512
1.290,1.84510
1.291,1.84507
1.292,1.84504
1.293,1.84501
1.294,1.84499
1.295,1.84496
1.296,1.84493
1.297,1.84491
1.298,1.84488
1.299,1.84485
1.300,1.84483
1.301,1.84480
1.302,1.84477
1.303,1.84475
1.304,1.84472
1.305,1.84469
1.306,1.84467
1.307,1.84464
1.308,1.84461
1.309,1.84459
1.310,1.84456
1.311,1.84454
1.312,1.84451
1.313,1.84448
1.314,1.84446
1.315,1.84443
1.316,1.84441
1.317,1.84438
1.318,1.84436
1.319,1.84433
1.320,1.84430
1.321,1.84428
1.322,1.84425
1.323,1.84423
1.324,1.84420
1.325,1.84418
1.326,1.84415
1.327,1.84413
1.328,1.84410
1.329,1.84407
1.330,1.84405
1.331,1.84403
1.332,1.84400
1.333,1.84398
1.334,1.84395
1.335,1.84393
1.336,1.84390
1.337,1.84388
1.338,1.84385
1.339,1.84383
1.340,1.84380
1.341,1.84378
1.342,1.84375
1.343,1.84373
1.344,1.84371
1.345,1.84368
1.346,1.84366
1.347,1.84364
1.348,1.84361
1.349,1.84359
1.350,1.84356
1.351,1.84354
1.352,1.84351
1.353,1.84349
1.354,1.84347
1.355,1.84344
1.356,1.84342
1.357,1.84340
1.358,1.84337
1.359,1.84335
1.360,1.84333
1.361,1.84330
1.362,1.84328
1.363,1.84326
1.364,1.84323
1.365,1.84321
1.366,1.84319
1.367,1.84317
1.368,1.84314
1.369,1.84312
1.370,1.84310
1.371,1.84307
1.372,1.84305
1.373,1.84303
1.374,1.84300
1.375,1.84298
1.376,1.84296
1.377,1.84294
1.378,1.84291
1.379,1.84289
1.380,1.84287
1.381,1.84284
1.382,1.84282
1.383,1.84280
1.384,1.84278
1.385,1.84275
1.386,1.84273
1.387,1.84271
1.388,1.84269
1.389,1.84267
1.390,1.84264
1.391,1.84262
1.392,1.84260
1.393,1.84258
1.394,1.84256
1.395,1.84253
1.396,1.84251
1.397,1.84249
1.398,1.84247
1.399,1.84245
1.400,1.84243
1.401,1.84240
1.402,1.84238
1.403,1.84236
1.404,1.84234
1.405,1.84232
1.406,1.84230
1.407,1.84227
1.408,1.84225
1.409,1.84223
1.410,1.84221
1.411,1.84219
1.412,1.84217
1.413,1.84215
1.414,1.84213
1.415,1.84210
1.416,1.84208
1.417,1.84206
1.418,1.84204
1.419,1.84202
1.420,1.84200
1.421,1.84198
1.422,1.84196
1.423,1.84194
1.424,1.84192
1.425,1.84190
1.426,1.84188
1.427,1.84185
1.428,1.84183
1.429,1.84181
1.430,1.84179
1.431,1.84177
1.432,1.84175
1.433,1.84173
1.434,1.84171
1.435,1.84169
1.436,1.84167
1.437,1.84165
1.438,1.84163
1.439,1.84161
1.440,1.84159
1.441,1.84157
1.442,1.84155
1.443,1.84153
1.444,1.84151
1.445,1.84149
1.446,1.84147
1.447,1.84145
1.448,1.84143
1.449,1.84141
1.450,1.84139
1.451,1.84137
1.452,1.84135
1.453,1.84133
1.454,1.84131
1.455,1.84129
1.456,1.84127
1.457,1.84125
1.458,1.84123
1.459,1.84121
1.460,1.84119
1.461,1.84117
1.462,1.84115
1.463,1.84113
1.464,1.84111
1.465,1.84110
1.466,1.84108
1.467,1.84106
1.468,1.84104
1.469,1.84102
1.470,1.84100
1.471,1.84098
1.472,1.84096
1.473,1.84094
1.474,1.84092
1.475,1.84090
1.476,1.84088
1.477,1.84087
1.478,1.84085
1.479,1.84083
1.480,1.84081
1.481,1.84079
1.482,1.84077
1.483,1.84075
1.484,1.84073
1.485,1.84071
1.486,1.84070
1.487,1.84068
1.488,1.84066
1.489,1.84064
1.490,1.84062
1.491,1.84060
1.492,1.84058
1.493,1.84057
1.494,1.84055
1.495,1.84053
1.496,1.84051
1.497,1.84049
1.498,1.84047
1.499,1.84045
1.500,1.84044
1.501,1.84042
1.502,1.84040
1.503,1.84038
1.504,1.84036
1.505,1.84034
1.506,1.84033
1.507,1.84031
1.508,1.84029
1.509,1.84027
1.510,1.84025
1.511,1.84024
1.512,1.84022
1.513,1.84020
1.514,1.84018
1.515,1.84016
1.516,1.84015
1.517,1.84013
1.518,1.84011
1.519,1.84009
1.520,1.84007
1.521,1.84006
1.522,1.84004
1.523,1.84002
1.524,1.84000
1.525,1.83998
1.526,1.83997
1.527,1.83995
1.528,1.83993
1.529,1.83991
1.530,1.83989
1.531,1.83988
1.532,1.83986
1.533,1.83984
1.534,1.83982
1.535,1.83981
1.536,1.83979
1.537,1.83977
1.538,1.83975
1.539,1.83974
1.540,1.83972
1.541,1.83970
1.542,1.83968
1.543,1.83967
1.544,1.83965
1.545,1.83963
1.546,1.83961
1.547,1.83960
1.548,1.83958
1.549,1.83956
1.550,1.83954
1.551,1.83953
1.552,1.83951
1.553,1.83949
1.554,1.83948
1.555,1.83946
1.556,1.83944
1.557,1.83943
1.558,1.83941
1.559,1.83939
1.560,1.83938
1.561,1.83936
1.562,1.83934
